,,,,,Relative Position (rads),,,,,,Absolute Position (rads),,,,,,Rate (rads/sec),,,,,,Torque (N-m),,,,,
Time,Motor Voltage (V),Spring Constant (N/rad), Damper Constant (N/rad/s), Gear Ratio,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6

5.9032,12,6,0.04,12,0.00183416,0.0344772,0.181419,0.00183416,0.00183416,0.102615,2.61699,3.63155,3.4846,2.61699,2.61699,3.56341,12.1022,17.317,17.3483,12.1022,12.1022,14.6877,0.0167473,0.00401214,0.884414,0.0167473,0.0167473,0.518013
6.0033,12,6,0.04,12,0.00189823,0.0018341,0.0018341,0.00249333,0.00215763,0.0018341,4.15215,5.19941,5.19941,4.15155,4.15189,5.19941,16.6564,16.64,16.64,16.7837,16.7115,16.64,-0.00061074,-0.000342166,-0.000342166,-0.00213166,-0.00125832,-0.000342166
6.1034,12,6,0.04,12,0.0619285,-4.05087e-005,-4.05087e-005,0.137536,0.03917,-4.05087e-005,5.60497,0.430957,0.430957,5.52937,5.62773,0.430957,6.96593,13.0785,13.0769,6.47504,6.75204,13.0769,0.602648,-0.0136709,-0.0136063,1.07593,0.474653,-0.0136063
6.2035,12,6,0.04,12,0.00241404,0.00314336,0.00654607,0.00241404,0.00241404,0.00453191,0.882419,1.92889,1.92549,0.882419,0.882419,1.9275,16.7332,16.8909,17.6117,16.7332,16.7332,17.185,-0.000403715,-0.00233737,-0.0107495,-0.000403715,-0.000403715,-0.00576892
6.3035,12,6,0.04,12,-0.000195879,0.0566248,0.124595,-0.000188249,-0.000188249,0.0323328,2.40893,3.39931,3.33134,2.40892,2.40892,3.4236,13.3221,6.5924,5.75451,13.3233,13.3233,6.30367,-0.0116224,0.598491,1.03983,-0.0116233,-0.0116229,0.464288
6.4036,12,6,0.04,12,0.00779838,0.00408739,0.00407976,0.0309154,0.0177166,0.00408739,3.85935,4.91027,4.91027,3.83624,3.84944,4.91027,17.2886,16.5052,16.504,22.0889,19.3416,16.5052,-0.00190728,0.00716326,0.00716326,-0.0552173,-0.0245189,0.00716326
6.5037,12,6,0.04,12,0.00169495,0.00169948,0.00169185,0.00169495,0.00169495,0.00162318,5.40376,0.167768,0.167776,5.40376,5.40376,0.167844,16.5949,16.5913,16.6044,16.5949,16.5949,16.5929,4.46231e-007,0.000167931,-0.000400154,4.46231e-007,4.46231e-007,-0.000350868
6.6037,12,6,0.04,12,0.00229054,0.029265,0.130766,0.00229054,0.00229054,0.0690675,0.604742,1.62497,1.52347,0.604742,0.604742,1.58516,13.3349,18.3796,28.679,13.3349,13.3349,21.6234,0.0237748,-0.0161686,0.180865,0.0237748,0.0237748,0.0928965
6.7038,12,6,0.04,12,0.00170877,0.0016599,0.0016599,0.00192239,0.0018461,0.0016599,2.13874,3.18599,3.18599,2.13852,2.1386,3.18599,16.6118,16.6041,16.6041,16.6506,16.634,16.6041,-0.000370056,-0.000354473,-0.000354473,-0.000642044,-0.000435974,-0.000354473
6.8039,12,6,0.04,12,0.0731174,-0.000310953,-0.000318582,0.174215,0.0765507,-0.000318582,3.55182,4.67245,4.67246,3.45073,3.54839,4.67246,16.5498,11.8559,11.8547,8.6405,7.34873,11.8547,0.250153,-0.00266158,-0.0026612,1.17311,0.638795,-0.0026612
6.9039,12,6,0.04,12,0.00218194,0.00248402,0.00484913,0.00218194,0.00218194,0.00362843,5.11513,6.16202,6.15966,5.11513,5.11513,6.16088,16.7142,16.7791,17.2832,16.7142,16.7142,17.0235,-0.000664751,-0.00144568,-0.00742087,-0.000664751,-0.000664751,-0.00435454
7.004,12,6,0.04,12,-0.000402442,0.029784,0.0949314,-0.000410071,-0.000410071,0.0138385,0.383827,1.40084,1.33569,0.383835,0.383835,1.41679,13.8366,6.58258,5.91633,13.8351,13.8352,6.38833,0.0132452,0.484525,0.902059,0.0132585,0.0132566,0.396622
7.1041,12,6,0.04,12,0.00391924,0.00296247,0.00296247,0.0115868,0.00781786,0.00296247,1.84877,2.89693,2.89693,1.8411,1.84487,2.89693,16.975,16.7732,16.7732,18.5955,17.7966,16.7732,-0.00215972,0.000170007,0.000170007,-0.0209734,-0.0116308,0.000170007
